Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Size category,Capital city,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,percentage situations
Argentina,IMF deal protest,21-Dec,Free,Ongoing government negotiations with the International Monetary Fund over debt restructuring.,Concerns over rising economic insecurity; fear that restructuring IMF debt would lead to fiscal austerity measures.,">1,000",General public.,2 months,The government adopted an agreement with the IMF to restructure the country's debt.,Thousands,Buenos Aires,0,X,X,0,0,0,0,0,0,"100,00%"
Ghana,#FixTheCountry protest,21-Aug,Free,Call for protests by activists on social media after tax hikes and increases in fuel prices.,"Frustration with high cost of living, perceived corruption, and poor infrastructure and living conditions.",">5,000",Youth and general public.,1 day,No policy/leadership change in response to protest.,Thousands,Accra,0,X,X,X,0,0,0,0,0,"500,00%"
Poland,Media law protests,21-Aug,Free,PiS party-led efforts to enact a law restricting foreign ownership of media outlets in Poland.,Frustration with declining media freedom under the PiS government.,">5,000",General public.,1 day in August 2021; 1 week in December 2021,"The governing coalition collapsed as a result of disagreements over tax policy and the media bill; in December 2021, President Andrzej Duda vetoed the media ownership bill.",Thousands,Warsaw,0,0,X,0,X,0,0,0,0,"500,00%"
Benin,Reelection protests,21-Apr,Partly free,Incumbent President Patrice Talon’s decision to seek another five-year term in office.,Frustration with declining political pluralism and Talon’s decision to seek reelection despite having said he would leave after a single term.,">1,000",General public.,1 week,No policy/leadership change in response to the protests.,Thousands,Porto-Novo,0,0,X,0,0,0,X,0,0,"100,00%"
Chad,Military rule protests,21-Apr,Not free,The military’s seizure of power in the wake of the death of longtime president Idriss Déby.,Frustration with the military’s role in politics and the proposed long time frame to return the country to civilian rule.,">1,000",General public.,"7 months, intermittently, in 2021; 1.5 months in 2022 beginning in September",No policy/leadership change in response to protests.,Thousands,N'Djamena,0,0,X,0,0,0,X,X,0,"100,00%"
Colombia,2021 tax proposal protests,21-Apr,Partly free,The government’s introduction of a proposal to raise tax rates and eliminate exemptions; a call for protests and strikes by the country’s main labor unions.,"Frustration with ongoing economic insecurity, a declining security situation, and pervasive inequality.",">10,000","Indigenous groups, labor unions, teachers, and university students.",5 months,"President Ivan Duque withdrew the tax proposal, and Finance Minister Alberto Carrasquilla resigned. A pared down version of the reform was passed in September 2021.",Tens of thousands,Bogota,0,X,X,0,X,0,X,X,X,"1000,00%"
France,Anti-Semitic murder protest,21-Apr,Free,The Court of Cassation’s ruling that the killer of a Jewish woman could not be tried due to his “delirious state.”,"Frustration with the court’s determination amid rising anti-Semitic violence, and a sense of a lack of accountability for her death.",">1,000","General public, including high-level politicians.",1 day,No policy/leadership change in response to protest.,Thousands,Paris,0,0,X,0,0,0,0,0,0,"100,00%"
North Macedonia,Opposition leader imprisonment protest,21-Apr,Partly free,Call by the opposition VMRO-DPMNE party for protests in response to over a dozen former party officials being sentenced to prison time for their role in a mob invasion of parliament in 2017.,A belief that the legal proceedings had been politically motivated; demands for a retrial.,">1,000","General public, including family members of imprisoned leaders.",1 day,No policy/leadership change in response to protest.,Thousands,Skopje,0,0,X,0,0,0,0,0,0,"100,00%"
Colombia,Police brutality protests,20-Sep,Partly free,Circulation of a video of police killing law student Javier Ordóñez by shooting him repeatedly with a stun gun.,Failure of the government to effectively address police brutality and violence.,">1,000",General public.,2 months,No policy or leadership change in response to the protests.,Thousands,Bogota,0,0,X,0,0,0,X,0,0,"100,00%"
Croatia,Coronavirus restriction protest,20-Sep,Free,"Imposition of coronavirus restrictions, including mask and vaccine mandates.",Skepticism of the coronavirus and a belief that public health restrictions jeopardized human rights.,">1,000","General public, especially antivaccine advocates.",5 months,No policy/leadership change in response to the protest.,Tens of thousands,Zagreb,0,0,X,0,0,0,X,X,0,"100,00%"
Egypt,Friday of Anger protests,20-Sep,Not free,Call for protest by exiled opposition leader Mohamed Ali; the demolition of unlicensed homes; and increases in commodity pricing.,"Opposition to the entrenchment of the al-Sisi regime, high costs of living, and the lack of political pluralism.",">1,000","Rural citizens, especially those displaced by the government's demolition campaign.",2 weeks,No policy or leadership change in response to the protests.,Thousands,Cairo,0,X,X,X,0,0,X,0,0,"100,00%"
Hungary,University independence protests,20-Sep,Partly free,The privatization of the University of Theater and Film Arts and the reorganization of its board under the control of an Orban ally.,"Frustration over increasing government control over higher education, restrictions on free expression, and declining academic freedom.",">5,000","General public, especially students.",2 months,No policy or leadership change in response to the protests.,Thousands,Budapest,0,0,X,0,0,0,0,0,0,"500,00%"
India,Farm bill protests,20-Sep,Partly free,Passage of bills on agricultural market reform and contract farming.,"Disruption of the rural farm economy, which has traditionally relied on middlemen to facilitate agricultural transactions.",">1,000,000",Farmers.,"2 years, intermittently.","In November 2021, Prime Minister Narendra Modi announced that his government would move to repeal the agricultural reform laws. Organizers called off protests after the government agreed to consider guaranteed prices for agricultural products.",Tens of millions,New Delhi,0,X,0,0,X,X,0,X,0,"1,000,000"
Venezuela,Service delivery protests,20-Sep,Not free,Collapse of gasoline supply chains and degradation of water and energy infrastructure.,"Frustration over the lack of meaningful state action in response to the economic collapse, government corruption, and dilapidated infrastructure.",">1,000","General public, especially those outside of the capital.",4 months,No policy or leadership change in response to the protests.,Thousands,Caracas,0,X,0,X,0,0,0,X,0,"100,00%"
Bangladesh,Anti-rape protests,20-Oct,Partly free,Circulation of a video of sexual assault.,"An ongoing sense of impunity for rape and sexual assault perpetrators, especially directed at the state for failing to prosecute or impose significant penalties.",">10,000","General public, especially women and students.",1 week,"The government approved measures to impose the death penalty or lifetime ""rigorous imprisonment"" for rape.",Tens of thousands,Dhaka,0,0,X,0,X,0,0,0,0,"1000,00%"
Georgia,Electoral protest,20-Oct,Partly free,Announcement of electoral results that showed the ruling Georgia Dream party with a significant lead.,"Belief that the electoral results were politically manipulated, that opposition parties had been deliberately kept out of power, and that oligarch and Georgia Dream founder Bidzina Ivanishvili retains an outsized level of influence.",">1,000","General public, especially opposition politicians.",3 weeks,No policy or leadership change in response to the protests.,Thousands,Tbilisi,0,0,X,0,0,0,0,0,0,"100,00%"
Indonesia,Jobs bill protests,20-Oct,Partly free,"Enactment of an omnibus Jobs Creation Bill, which reformed labor and market regulations.","Concern that reforms would weaken protections for workers, especially through reducing wages, insurance access, and pensions.",">1,000",General public.,1 month,No policy or leadership change in response to the protests.,Thousands,Jakarta,0,X,X,0,0,0,0,0,0,"100,00%"
Kyrgyzstan,Electoral protests,20-Oct,Not free,Allegations of vote-rigging and intimidation amid parliamentary elections.,Concern over the shrinking political space and lack of faith in electoral processes under President Sooronbai Jeenbekov.,">1,000",General public.,1 month,President Jeenbekov and his government resigned and were succeeded by an interim government led by opposition leader Sadyr Japarov.,Thousands,Bishkek,0,0,X,0,X,0,0,0,0,"100,00%"
Mexico,AMLO protests,20-Oct,Partly free,Perception that the government of President Andres Manuel Lopez Obrador has mismanaged the public health and economic crises stemming from the corronavirus pandemic.,"Economic frustration and broad-based opposition to the Lopez Obrador government, especially from conservatives.",">5,000","General public, especially conservatives and adherents of the FRENAAA, or National Anti-AMLO Front, movement.",2 months,No policy or leadership change in response to the protests.,Thousands,Mexico City,0,0,X,0,0,0,0,0,0,"500,00%"
Nigeria,SARS protests,20-Oct,Partly free,Circulation of a video of police brutality.,"Widespread belief that the police, especially the elite Special Anti-Robbery Squad (SARS), was involved in gross violations of human rights.",">10,000","General public, especially youth.",3 months,The government disbanded the SARS police squad and promised investigations into alleged human rights abuses.,Tens of thousands,Abuja,0,0,X,0,X,0,X,0,0,"1000,00%"
Pakistan,Opposition protests,20-Oct,Partly freee,Call by a coalition of opposition parties for protests against the government of Prime Minister Imran Khan.,"Corruption, influence of the military in domestic politics, and suspicion that the 2018 general election had been manipulated.",">10,000","General public, especially adherents of opposition political parties.",1 week,No policy or leadership change in response to the protests.,Tens of thousands,Islamabad,0,0,X,X,0,0,0,0,0,"1000,00%"
Poland,Abortion rights protests,20-Oct,Free,"A ruling by Poland’s Constitutional Court that deemed abortion illegal in all cases except those involving rape, incest, or a threat to the mother’s life.",Anger at perceived restrictions on women’s rights and concern over political capture of the judiciary.,">5,000","General public, especially women.",4 months,No policy or leadership change in response to the protests.,Thousands,Warsaw,0,0,X,0,0,0,0,X,0,"500,00%"
Armenia,Peace plan protests,20-nov.,Partly free,"Announcement of a Russian-brokered peace deal that ceded a sizable part of the contested Nagorno-Karabakh region to Azerbaijan; in May 2022, the government's announcement that it may have to reduce territorial claims as part of the peace process. In September 2022, a new offensive which resulted in further territorial losses for Armenia.","Nationalist sentiment and a belief in Armenian territorial claims to the Nagorno-Karabakh regions, and anger over concessions to Azerbaijan.",">10,000",Coalition of seventeen opposition parties and their adherents.,6 months in 2020–2021; 2 months from April–June 2022; 2 months from September–November 2022.,No policy or leadership change in response to the protests.,Tens of thousands,Yerevan,0,0,X,0,0,0,0,X,0,"1000,00%"
Cuba,Artistic freedom protests,20-nov.,Not free,"Arrest of rapper Denis Solis, who was later sentenced to eight months in prison for insulting a police officer.",Ongoing restrictions on artistic freedom and free expression.,>100,Members of the San Isidro Movement.,1 month,No policy or leadership change in response to the protests.,Hundreds,Havana,0,0,X,0,0,0,0,0,0,"10000,00%"
France,Police security bill protests,20-nov.,Free,Approval in the Chamber of Deputies of a bill that limits the publication of images of on-duty police officers and the circulation of a video of police beating music producer Michel Zecler.,Concerns that the bill would limit accountability for police and suppress media freedom.,">100,000",General public.,4 months,The government agreed to rewrite the bill in response to protest demands.,Huundreds of thousands,Paris,0,0,X,0,0,X,0,X,0,"10000,00%"
Guatemala,Budget protests,20-nov.,Partly free,"Adoption of a government budget bill that included spending cuts for public health, education, the judiciary, and social support programs while increasing stipends for lawmakers.","Widespread dissatisfaction with systemic corruption, weakening state support for vulnerable populations, and an ineffective government response to the coronavirus pandemic.",">5,000",General public.,1 month,The govermnent withdrew the budget bill.,Thousands,Guatemala City,0,0,X,X,X,0,0,0,X,"500,00%"
Peru,Impeachment protests,20-nov.,Partly free,A surprise vote by Peru’s opposition-led Congress to impeach and remove incumbent president Martin Vizcarra on the grounds of “moral incapacity.”,Anger that Congress would remove the popular president on dubious grounds in the midst of a national crisis.,">10,000",General public.,1 month,"Interim president Manuel Merino, a key supporter of the impeachment, resigned after only five days in office. He was succeeded by Francisco Sagasti.",Tens of thousands,Lima,0,0,X,X,X,0,0,0,0,"1000,00%"
Slovakia,Coronavirus restrictions protest,20-nov.,Free,Ongoing pandemic-related restrictions and the commemoration of Slovenia’s national Fight for Freedom and Democracy Day.,Frustration with ongoing coronavirus restrictions.,">1,000","General public, especially far-right activists.",1 day,No policy or leadership change in response to the protests.,Thousands,Bratislava,0,0,X,0,0,0,0,0,X,"100,00%"
Uganda,Opposition leader arrest protests,20-nov.,Not free,Arrest of opposition presidential candidates Bobi Wine and Patrick Amuriat.,"Opposition to the entrenchment of incumbent president Yoweri Museveni, lack of genuine political pluralism, and recurring crackdowns on political opposition.",">1,000","General public, especially supporters of Bobi Wine and Patrick Amuriat.",3 months,No policy or leadership change in response to the protests.,Thousands,Kampala,0,0,X,0,0,0,X,0,0,"100,00%"
United States,Electoral protests,20-nov.,Free,Allegations leveled by President Donald Trump and his allies that vote counts were inaccurate and that there had been significant electoral fraud.,"Belief of Trump supporters that Democrats would steal the election, and the call of President-elect Joe Biden supporters for respecting the electoral process and the will of voters.",">1,000",Supporters of Trump and supporters of Biden.,3 months,No policy or leadership change in response to the protests.,Thousands,"Washington, D.C.",0,0,X,0,0,0,0,0,0,"100,00%"
Bulgaria,Coronavirus lockdown protest,20-May,Free,Enactment of lockdown measures to combat the spread of the coronavirus.,"Skepticism of the coronavirus and vaccines, and other concerns rooted in conspiracy theories and misinformation.",">1,000","Far-left activists, especially supporters of the Vazrazhdane group.",1 day,No policy or leadership change in response to the protest.,Tens of thousands,Sofia,0,X,0,X,0,0,0,X,0,"100,00%"
Ecuador,Coronavirus protest,20-May,Partly free,Announcement of the closure of some state-owned companies and cuts to salaries of public sector workers.,Economic impacts of the coronavirus pandemic response.,4,"Trade unions, social welfare organizations.",1 day,No policy/leadership change in response to the protest.,Tens of thousands,Quito,0,0,X,0,0,0,X,0,0,"400,00%"
Spain,Coronavirus protest,20-May,Free,"Protesters’ claims that the government misrepresented the extent of the health crisis, violated citizens’ rights by confining them to their homes and ruling by decree, and damaged the economy.","Economic effects of the lockdown, and concerns of government overreach.",Thousands,Pro-independence groups and their supporters.,1 day,No policy/leadership change in response to the protest.,Thousands,Madrid,0,X,X,0,0,0,0,0,0,Thousands
Turkmenistan,Storm damage protest,20-May,Not free,Government failure to provide aid after a severe storm hit the city of Turkmenabat.,Frustration over poor service delivery and the government’s failure to address reconstruction needs after the storm.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,Tens of thousands,Ashgabat,0,0,X,0,0,0,X,X,0,"100,00%"
United Kingdom,Coronavirus lockdown protests,20-May,Free,Enactment of lockdown measures to combat the spread of the coronavirus.,"Skepticism about the coronavirus and vaccines, and concerns over the balance between public health restrictions and freedom.",">10,000","General public, especially far-left and far-right activists, anti-vaxxers, and conspiracy theorists.","15 months, intermittently",No policy/leadership change in response to the protests.,Tens of thousands,London,0,0,X,0,0,0,0,X,X,"1000,00%"
United States,Police brutality protests,20-May,Free,Excessive use of lethal force by police officers against unarmed Black civilians.,"Ongoing police brutality toward communities of Black people, and broader issues of systemic racism.",">1,000,000",General public.,15 months,Multiple local governments have reduced funding for the police. Some of the officers involved in the deaths of George Floyd and Breonna Taylor have been arrested.,Over 1 million,"Washington, D.C.",0,0,X,0,X,X,X,X,0,"1,000,000"
Brazil,Coronavirus protests,20-mar.,Free,"President Jair Bolsonaro’s poor and slow response to the coronavirus outbreak; and the death of George Floyd in the United States, sparking protests against local police brutality and racism.","Lack of an effective government response to the spread of the coronavirus, racism in Brazil, and police brutality against Black Brazilians.",">1,000",General public.,4 months,No policy/leadership change in response to the protests.,Thousands,Brasilia,0,0,X,0,0,0,X,0,0,"100,00%"
Colombia,Coronavirus protests,20-mar.,Partly free,"President Ivan Duque’s undermining of local and regional authorities, citizens’ claims that they were not receiving sufficient social support, and rising number of deaths from the virus.","Lack of an effective government response to the spread of the coronavirus, insufficient social support for marginalized and economically disadvantaged populations, and lack of protection for healthcare workers.",">1,000",General public.,8 months,No policy/leadership change in response to the protests.,Thousands,Bogota,0,X,X,0,0,0,0,X,X,"100,00%"
Colombia,Prison protest,20-mar.,Partly free,"Unsanitary conditions in prisons, which could accelerate the spread of the coronavirus among inmates.","Unsanitary conditions in prisons, including overcrowding and lack of access to water.",Unknown,Prisoners.,1 day,"Colombia’s Ministry of Justice ordered the mass release of most nonviolent prisoners, so that they could temporarily serve their time at home.",Thousands,Bogota,0,0,X,0,X,0,0,0,0,Unknown
Israel,Israel coronavirus protests,20-mar.,Free,"Prime Minister Benjamin Netanyahu’s expansion of authority during the coronavirus outbreak, such as using phone surveillance technology, shutting down the court system, adjourning parliament, and planning to annex parts of the West Bank.","Perceptions of Netanyahu’s actions as antidemocratic, corrupt, or authoritarian.",">10,000",General public.,14 months,No policy/leadership change in response to the protests.,Tens of thousands,Jerusalem,0,0,X,X,0,X,0,0,X,"1000,00%"
Italy,Prison protest,20-mar.,Free,"Overcrowding in prisons during the coronavirus outbreak. Government decision to suspend or limit family visits to more than two dozen prisons for the next two weeks, due to coronavirus concerns.","Prison overcrowding, lack of government support for the prison system, and poor conditions in prisons.",Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,Tens of thousands,Rome,0,X,X,0,0,0,0,0,0,Unknown
Lebanon,Prison protest,20-mar.,Partly free,Overcrowding in prisons during the coronavirus outbreak.,Overcrowding in Lebanese prisons.,Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,Tens of thousands,Beirut,0,X,X,X,0,0,0,0,0,Unknown
Mexico,Femicide protests,20-mar.,Partly free,"In March 2020, triggered by the murder of a twenty-five-year-old woman and seven-year-old girl. In March 2022, protests were triggered by rising femicide rates and commemorations of International Women's Day. In March 2023, protests were triggered again by commemorations of International Women's Day.","Anger at violence against women, and lack of a government focus on addressing gender-based violence.",">10,000",Women.,3 weeks in March 2020; 1 day in March 2022; 1 day in March 2023,No policy or leadership change in response to the protests.,Thousands,Mexico City,0,0,X,0,0,0,X,0,0,"1000,00%"
Slovenia,Anti-Jansa protests,20-mar.,Free,"Allegations of corruption, illiberalism, and declining freedom under the government of Prime Minister Janez Jansa.",Frustration with rising illiberalism and poor governance under Jansa’s government.,">10,000",General public.,"16 months, intermittently",No policy/leadership change in response to protest.,Tens of thousands,Ljubljana,0,0,X,X,0,0,0,X,X,"1000,00%"
Australia,Racial equality protests,20-jun.,Free,"Death of George Floyd in the United States, sparking protests in Australia against local police brutality and racism.","Local issues of racism, institutional racism, and police violence against Aboriginal people.",">10,000",General public.,1 month,No policy/leadership change in response to the protests.,Thousands,Canberra,0,X,X,0,X,0,0,0,0,"1000,00%"
Belarus,“Slipper uprising”,20-jun.,Not free,Arrests of opposition presidential candidates; anger over the fraudulence of the August 2020 presidential election.,Opposition to President Alexander Lukashenko’s reelection campaign; frustration over lack of genuine political pluralism.,">100,000",General public.,11 months,No policy/leadership change in response to the protests.,Hundreds of of thousands,Minsk,0,0,X,0,0,X,X,X,0,"10000,00%"
Democratic Republic of the Congo,Judiciary reform protests,20-jun.,Not free,"National Assembly’s proposed changes to the juidiciary that would include proposals to define the powers of judges, and its decision to appoint Ronsard Malonda as chairman of the Independent National Electoral Commission, despite his perceived past role in rigging elections in favor of former president Joseph Kabila.","Growing tensions within the ruling coalition, concern over the political influence of Kabila, and fears that the 2023 presidential election could be subject to manipulation with a new head of the national electoral commission.",">1,000","Supporters of President Felix Tshisekedi and his party, the Union for Democracy and Social Progress (UDPS).",1 month,No policy/leadership change in response to the protests.,Tens of thousands,Kinshasa,0,0,X,0,0,0,0,0,0,"100,00%"
Ethiopia,Hundessa protests,20-jun.,Not free,Murder of activist and singer Hachalu Hundessa.,"Ongoing wish for more autonomy for sub-national government, disputes over the construction of the Grand Ethiopian Renaissance Dam, ethnic conflicts",">5,000",Members of the Oromo ethnic group,4 months,"Amid surging ethnic violence, PM Abiy Ahmed replaced ten ministers, including the Minister of Defense, on August 18.",Tens of thousands,Addis Ababa,0,0,X,0,0,0,0,0,0,"500,00%"
France,Black Lives Matter protests,20-jun.,Free,"Deaths of George Floyd in 2020 in the United States and Adama Traore in 2016 in France, both at the hands of the police.","Police brutality in France, France’s colonial legacy, and a lack of government recognition or societal discussion of issues of systemic racism.",20,General public.,2 months,No policy/leadership change in response to the protests.,Hundreds of thousands,Paris,0,X,0,0,X,X,0,X,0,"2000,00%"
Germany,Police brutality protests,20-jun.,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in Germany.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">100,000",General public.,1 month,No policy/leadership change in response to the protests.,Unknown,Berlin,0,0,X,0,0,0,X,0,X,"10000,00%"
Japan,Police brutality protests,20-jun.,Free,"The death of George Floyd in the United States, sparking protests against local police brutality and racism in Japan, most recently manifesting in police violence against a Kurdish man.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">1,000",General public.,2 weeks,No policy/leadership change in response to the protests.,Tens of thousands,Tokyo,0,0,X,0,0,0,0,0,0,"100,00%"
Kyrgyzstan,Internet freedom protests,20-jun.,Not free,The proposal of a law that would allow authorities to block “fake news” online.,Concerns over state repression of independent online journalism and the media space more generally.,>500,General public.,1 week,President Sooronbay Jeenbekov sent the law back to parliament for further legislative review.,Tens of thousands,Bishkek,0,0,X,X,0,0,0,0,0,"50000,00%"
Mali,Movement of June 5,20-jun.,Not free,Worsening of the security situation in Mali’s northern and central regions.,"Lack of political reform, economic stagnation, government corruption, and regime’s inability to address the worsening conflict.",">10,000","Muslim religious leaders, representatives of the Fulani herding community, opposition parties, civil society groups.",2 months,"Military coup on August 19 overthrew President Ibrahim Boubacar Keita, fulfilling a key protester demand.",Tens of thousands,Bamako,0,0,X,0,X,0,0,0,0,"1000,00%"
New Zealand,Racial equality protests,20-jun.,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in New Zealand.",Systemic racism and police violence against indigenous people.,">10,000","University students, business sector, general public.",1 week,The police commissioner announced that the New Zealand Police would do away with its armed response teams.,Tens of thousands,Wellington,0,X,0,0,X,0,0,0,0,"1000,00%"
Portugal,Police brutality protest,20-jun.,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in Portugal.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">10,000","Key participants varied by protest, from urban young people to Romanian diaspora, magistrates.",1 day,No policy/leadership change in response to the protests.,Tens of thousands,Lisbon,0,X,0,0,X,0,X,X,0,"1000,00%"
Sudan,“Million-man March”,20-jun.,Not free,"Slow transition from military elite control to civilian control, the repeal of Islamic legal restrictions, and a lack of accountability for anti-protester violence. From October 2021, the major trigger was the military's seizure of power on October 25.","Discontent with the military elite’s continued control and influence, including through undermining the country's democratic transition; the slow pace of reforms; and the repeal of Islamic legal restrictions introduced while former president Omar al-Bashir was in power.",">100,000","General public, professional organizations, resistance committees; Islamic groups and supporters of Bashir.",3 years,"In November 2021, Abdalla Hamdok was re-installed as prime minister, though he resigned after mass protests in January 2022. In December 2022, Sudan's junta leaders and opposition groups including Forces of Freedom and Change signed a framework deal that called for a two-year transition to a civilian-led government. Other opposition groups, especially grassroots resistance committees, rejected the deal and called for further protests. In April 2023, conflict broke out between two rival junta leaders, Abdel-Fattah Burhan and Mohammed Dagalo.",Hundreds of thousands,Khartoum,0,X,X,0,X,X,X,X,0,"10000,00%"
Syria,Economic crisis protests,20-jun.,Not free,Imposition of U.S. sanctions that decreased the value of the Syrian pound by two-thirds.,Economic insecurity stemming from the rapid devaluation of the Syrian pound.,>500,General public.,1 month,Prime minister Imad Khamis was fired from his post.,Thousands,Damascus,0,0,0,X,0,0,0,0,0,"50000,00%"
Tunisia,Unemployment protests,20-jun.,Free,"High unemployment, failing infrastructure, the killing of a young man by police, and the underdevelopment of southern Tunisia’s economy and private sector.",Government’s failure to honor its 2017 pledge to invest millions in southern Tunisia’s economy and generate jobs.,">1,000",Turkey’s largest pposition party.,1 month,Prime Minister Elyes Fakhfakh resigned.,Tens of thousands,Lomé,0,X,0,0,X,0,0,X,0,"100,00%"
United Kingdom,Black Lives Matter protests,20-jun.,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in the UK.",Systemic racism in the UK and the country’s imperial legacy.,Tens of thousands,General public.,1 month,The establishment of a government commission to examine racial inequality.,Thousands,London,0,0,X,0,X,0,0,0,0,Tens of thousands
Azerbaijan,Pro-war protest,20-jul.,Not free,"Brief conflict with Armenia over the contested Nagorno-Karabakh region, which resulted in the deaths of eleven Azerbaijani soldiers, including then major general Polad Hashimov.",Anger over the government’s refusal to escalate the territorial conflict in Nagorno-Karabakh.,">10,000",General public.,1 day,The Azerbaijani military initiated a campaign to take back Nagorno-Karabakh in September 2020.,Thousands,Baku,0,0,X,0,0,0,0,0,X,"1000,00%"
Bolivia,2020 election protests,20-jul.,Partly free,A second delay to nationwide elections stemming from the COVID-19 pandemic.,Ongoing resentment over the resignation of former President Evo Morales; widespread frustration over an ineffective COVID response; anger over the caretaker Áñez government's extension of its own mandate.,">10,000",Supporters of the former President; trade unions.,3 weeks,"The government set a hard deadline for holding nationwide elections (October 18, 2020).",Thousands,La Paz,0,X,0,0,0,0,0,0,0,"1000,00%"
Bulgaria,Corruption protests,20-jul.,Free,Revelations that state National Security Service agents were reserving access of a public beach for a businessman’s private use; police raids on the office of President Rumen Radev; and fresh allegations of corruption against Prime Minister Boyko Borisov.,Widespread corruption that has weakened state institutions and Bulgaria’s rule of law.,400,General public.,6 months,Four ministers resigned; investigation against the President is blocked; Head of the National Security Service resigned; and the government introduces proposed constitutional reforms.,Hundreds of thousands,Sofia,0,0,X,X,X,X,0,X,0,"40000,00%"
Greece,Protest law protests,20-jul.,Free,The Kryiakos Mitsotakis government’s enactment of a stringent law on demonstrations.,Protection of the right to free assembly and discontent with the government’s move to stifle dissent.,">10,000",General public.,1 week,No policy or leadership change in response to the protests.,Hundreds of thousands,Athens,0,X,X,0,0,X,0,0,0,"1000,00%"
Jordan,Teacher pay protests,20-jul.,Not free,The government’s failure to abide by a pay raise agreement between the education ministry and the Teachers’ Syndicate union.,Insufficient pay for public sector workers amid rising costs of living and anger over the government’s repression of the Teachers’ Syndicate.,">1,000","General public, especially teachers.",1 month,No policy/leadership change in response to protests.,Tens of thousands,Amman,0,0,X,0,0,0,0,0,0,"100,00%"
Russia,Khabarovsk protests,20-jul.,Not free,Arrest of the popular regional governor Sergei Furgal on murder charges.,"Increasing resentment among the outer regions of Russia toward the Kremlin for intruding in regional affairs, anger among opposition parties that feel they are powerless in the restrictive political system, and concern over political repression.",50,General public.,5 months,No policy/leadership change in response to the protests.,Tens of thousands,Moscow,0,0,X,X,0,0,0,X,0,"5000,00%"
Serbia,Coronavirus protests,20-jul.,Partly free,Announcement that the government would reimpose a curfew and other restrictions amid a surge in COVID-19 cases—just two weeks after the country’s parliamentary elections that opposition leaders decried as illegitimate.,"Public perceptions that President Aleksandar Vucic’s decision to lift lockdown measures in May was only made to give his party the advantage in the upcoming parliamentary elections (by acting as if he had defeated the outbreak), concerns over the true extent of the outbreak, and exasperation with underlying issues of government corruption and authoritarianism.",">10,000",Opposition parties.,4 weeks,No policy/leadership change in response to the protests.,Hundreds,Belgrade,0,0,X,0,0,0,X,0,0,"1000,00%"
Sudan,Darfur insecurity protests,20-jul.,Not free,Recurring militia attacks in the Darfur region.,Anger over the state’s failure to keep citizens safe from militia attacks.,">1,000",Residents of Darfur.,1 month,The government dismissed the regional chief of police and his deputy.,Thousands,Khartoum,0,X,0,X,X,0,0,0,0,"100,00%"
Thailand,Antigovernment protests,20-jul.,Not free,"Government failure to boost the economy during the pandemic, kidnapping of a leading political activist, and protesters’ desire to repeal Thailand’s strict royal defamation law.","Lack of employment options for recent graudates, laws that shrink freedoms, and discontent with the military-written constitution.",">10,000","Youth groups, general public.",1.5 years,No policy/leadership change in response to the protests.,Tens of thousands,Bangkok,0,X,X,0,0,0,0,X,0,"1000,00%"
Australia,Wildfire protests,20-jan.,Free,Government response to the Australian bushfires.,Climate change and weak government policies on climate.,30,"Students, activists.",2 days,"Prime Minister Scott Morrison admitted some regret over government policies, increased funding to respond to the bushfires, and promised that a royal commission would review the government response.",Tens of thousands,Canberra,0,0,X,X,X,0,X,0,0,"3000,00%"
India,24-hour strike,20-jan.,Partly free,Publication of government statistics predicting slowing economic growth.,Opposition to Modi’s economic policies (including privatization).,">10,000","Trade unions, students.",1 day,No policy/leadership change in response to the protests.,Tens of thousands,New Delhi,0,0,X,0,0,0,0,0,0,"1000,00%"
Iran,Downed plane protests,20-jan.,Not free,"Iran's military acknowledged that it had launched missiles that brought down a Ukraine International Airlines jet near Tehran, killing all 176 people on board.",Lack of government transparency and accountability and popular discontent with political leadership.,">1,000",University students.,3 days,No policy/leadership change in response to the protests.,Tens of thousands,Tehran,0,X,0,0,X,0,0,0,0,"100,00%"
